,Name,Price,Location,Fuel Type,Transmission,Kms Driven,Year,Company Name
9173,Jetta ,975000,mumbai,Diesel,Automatic,73000,2016,Volkswagen
9174,X1 ,810000,mumbai,Diesel,Automatic,98600,2013,BMW
9175,7 Series ,5200000,mumbai,Diesel,Automatic,61000,2016,BMW
9176,5 Series ,1475000,mumbai,Diesel,Automatic,71500,2013,BMW
9177,3 Series GT ,2650000,mumbai,Diesel,Automatic,77000,2017,BMW
9178,Q7 ,4750000,mumbai,Diesel,Automatic,75000,2016,Audi
9179,Q7 ,1950000,mumbai,Diesel,Automatic,83000,2012,Audi
9180,Amaze ,700000,mumbai,Petrol,Manual,33148,2018,Honda
9181,Q3 ,2150000,mumbai,Diesel,Automatic,63000,2017,Audi
9182,A6 ,2350000,mumbai,Diesel,Automatic,54000,2017,Audi
9183,SX4 ,375000,mumbai,CNG,Manual,87000,2013,Maruti
9184,A4 ,2630000,mumbai,Diesel,Automatic,43500,2017,Audi
9185,Etios Cross ,445000,mumbai,Petrol,Manual,29075,2014,Toyota
9186,A4 ,1300000,mumbai,Diesel,Automatic,64000,2014,Audi
9187,GL-Class ,3650000,mumbai,Diesel,Automatic,66500,2015,Mercedes-Benz
9188,CLA ,2550000,mumbai,Diesel,Automatic,31000,2017,Mercedes-Benz
9189,Verna ,835000,mumbai,Petrol,Automatic,14075,2017,Hyundai
9190,CLA ,2650000,mumbai,Diesel,Automatic,23000,2018,Mercedes-Benz
9191,Innova Crysta ,2475000,mumbai,Diesel,Automatic,9000,2021,Toyota
9192,C-Class ,2750000,mumbai,Diesel,Automatic,46000,2017,Mercedes-Benz
9193,i20 ,555000,mumbai,Petrol,Manual,30050,2015,Hyundai
9194,Creta ,578000,mumbai,Petrol,Manual,56000,2015,Hyundai
9195,City ,825000,mumbai,Petrol,Automatic,34000,2017,Honda
9196,Creta ,1545000,mumbai,Petrol,Manual,11075,2021,Hyundai
9197,Grand i10 ,615000,mumbai,Petrol,Automatic,25075,2017,Hyundai
